especie,m1,m2,m3,m4,m5,m6
AMPHARETIDAE,0,0,0,1,0,6
AMP Amphicteis scaphobranchiata,1,1,1,0,0,1
CAP Mediomastus ambiseta,0,0,0,0,1,0
CHAETOP Mesochaetopterus minuta,0,0,0,1,0,0
CHAETOP Phyllochaetopterus limicolus,3,0,0,0,1,0
CIRR Chaetozone gracilis,0,0,0,0,0,2
CIRR Caulleriella sp,52,38,10,4,10,34
GLY Glycera dibranchiata,0,0,0,0,1,0
GLY Glycera branquiopoda,0,0,1,0,1,0
GLY Glycera robusta,0,0,1,0,0,0
GLY Hemipodia pustatula,0,0,0,3,0,6
GON Goniadides coralinae,0,2,3,0,0,0
LUM Lumbrineris cruzensis,0,1,0,0,0,0
LUM Scoletoma sp,0,0,0,1,0,0
NEPH Aglaophamus dibranchis,7,4,0,3,0,4
NEPH Nephtys californiensis,1,5,0,0,0,0
NEPH Nephtys panamensis,1,5,1,2,7,1
NER Ceratocephale oculata,1,0,0,0,1,0
NER Neanthes caudata,2,0,0,0,1,0
ONU Kinbergonuphis sp 1,0,0,0,0,4,1
ORB Leitoscoloplos fragilis,0,0,0,1,0,0
OWE Oernia corallis,2,0,0,3,1,1
PAR Aricidea (Acmira) sp 1,0,1,3,1,1,0
PAR Paradoneis sp,4,3,5,8,4,0
PHY Phyllodoce sp,1,0,0,0,0,0
SAB Acromegalomma gesae,0,0,1,0,0,0
SAB Chone mollis,5,0,2,1,1,0
SAB Paradialychone sp,0,0,1,0,3,0
SAB Parasabella pallida,1,0,0,0,0,0
SPI Dipolydora socialis,7,5,5,4,1,5
SPI Dispio glabrillamellata,0,0,0,3,2,0
SPI Malacoceros indicus,0,0,0,1,0,0
SPI Minuspio lighti,5,1,4,3,2,15
SPI Minuspio multibranchiata,0,0,0,0,0,2
SPI Minuspio sp,0,0,0,0,0,2
SPI Paraprionospio pinnata,21,38,27,9,4,28
SPI Prionospio heterobranchia,3,0,2,0,0,0
SPI Prionospio vermillionensis,0,3,1,1,4,0
SPI Spiophanes bombyx,1,0,0,4,2,1
SYLL Exogone dispar,2,0,0,1,0,0
